Symbol,Date,Open,High,Low,Close,Volume,MarketState
GBPUSD,2013.03.20,1.50919,1.51858,1.50267,1.50914,55074,UNKNOWN
GBPUSD,2013.03.21,1.50915,1.52089,1.50878,1.51710,52481,UNKNOWN
GBPUSD,2013.03.22,1.51714,1.52474,1.51714,1.52269,44737,UNKNOWN
GBPUSD,2013.03.25,1.52344,1.52599,1.51433,1.51752,52992,UNKNOWN
GBPUSD,2013.03.26,1.51750,1.52070,1.51351,1.51632,43615,UNKNOWN
GBPUSD,2013.03.27,1.51631,1.51810,1.50925,1.51276,44933,UNKNOWN
GBPUSD,2013.03.28,1.51275,1.52004,1.51118,1.51908,45674,UNKNOWN
GBPUSD,2013.03.29,1.51907,1.52182,1.51771,1.51958,28016,UNKNOWN
GBPUSD,2013.04.01,1.51970,1.52414,1.51774,1.52261,24266,UNKNOWN
GBPUSD,2013.04.02,1.52261,1.52583,1.50987,1.51043,42226,UNKNOWN
GBPUSD,2013.04.03,1.51041,1.51580,1.50750,1.51320,39703,UNKNOWN
GBPUSD,2013.04.04,1.51319,1.52453,1.50332,1.52280,50964,UNKNOWN
GBPUSD,2013.04.05,1.52285,1.53630,1.51990,1.53357,47209,UNKNOWN
GBPUSD,2013.04.08,1.53294,1.53502,1.52386,1.52646,42403,UNKNOWN
GBPUSD,2013.04.09,1.52646,1.53413,1.52499,1.53187,46081,UNKNOWN
GBPUSD,2013.04.10,1.53187,1.53427,1.52924,1.53265,41823,UNKNOWN
GBPUSD,2013.04.11,1.53265,1.54113,1.53171,1.53850,46975,UNKNOWN
GBPUSD,2013.04.12,1.53845,1.54094,1.53372,1.53393,42731,UNKNOWN
GBPUSD,2013.04.15,1.53381,1.53844,1.52698,1.52918,52647,UNKNOWN
